tick,place,kind,value
0,0,1,1
0,0,2,0
0,1,1,0
0,1,2,0
0,2,1,0
0,2,2,0
0,3,1,0
0,3,2,0
1,0,1,1
1,0,2,1
1,1,1,0
1,1,2,0
1,2,1,0
1,2,2,0
1,3,1,0
1,3,2,0
2,0,1,1
2,0,2,2
2,1,1,0
2,1,2,0
2,2,1,0
2,2,2,0
2,3,1,0
2,3,2,0
3,0,1,1
3,0,2,3
3,1,1,0
3,1,2,0
3,2,1,0
3,2,2,0
3,3,1,0
3,3,2,0
4,0,1,1
4,0,2,1
4,1,1,0
4,1,2,1
4,2,1,0
4,2,2,1
4,3,1,0
4,3,2,1
5,0,1,1
5,0,2,2
5,1,1,0
5,1,2,1
5,2,1,0
5,2,2,1
5,3,1,0
5,3,2,1
6,0,1,1
6,0,2,3
6,1,1,0
6,1,2,1
6,2,1,0
6,2,2,1
6,3,1,0
6,3,2,1
7,0,1,1
7,0,2,4
7,1,1,0
7,1,2,1
7,2,1,0
7,2,2,1
7,3,1,0
7,3,2,1
8,0,1,1
8,0,2,2
8,1,1,0
8,1,2,2
8,2,1,0
8,2,2,2
8,3,1,0
8,3,2,2
9,0,1,1
9,0,2,3
9,1,1,0
9,1,2,2
9,2,1,0
9,2,2,2
9,3,1,0
9,3,2,2
10,0,1,1
10,0,2,4
10,1,1,0
10,1,2,2
10,2,1,0
10,2,2,2
10,3,1,0
10,3,2,2
11,0,1,1
11,0,2,5
11,1,1,0
11,1,2,2
11,2,1,0
11,2,2,2
11,3,1,0
11,3,2,2
12,0,1,1
12,0,2,3
12,1,1,0
12,1,2,3
12,2,1,0
12,2,2,3
12,3,1,0
12,3,2,3
13,0,1,1
13,0,2,4
13,1,1,0
13,1,2,3
13,2,1,0
13,2,2,3
13,3,1,0
13,3,2,3
14,0,1,1
14,0,2,5
14,1,1,0
14,1,2,3
14,2,1,0
14,2,2,3
14,3,1,0
14,3,2,3
15,0,1,1
15,0,2,6
15,1,1,0
15,1,2,3
15,2,1,0
15,2,2,3
15,3,1,0
15,3,2,3
16,0,1,1
16,0,2,4
16,1,1,0
16,1,2,4
16,2,1,0
16,2,2,4
16,3,1,0
16,3,2,4
17,0,1,1
17,0,2,5
17,1,1,0
17,1,2,4
17,2,1,0
17,2,2,4
17,3,1,0
17,3,2,4
18,0,1,1
18,0,2,6
18,1,1,0
18,1,2,4
18,2,1,0
18,2,2,4
18,3,1,0
18,3,2,4
19,0,1,1
19,0,2,7
19,1,1,0
19,1,2,4
19,2,1,0
19,2,2,4
19,3,1,0
19,3,2,4
20,0,1,1
20,0,2,5
20,1,1,0
20,1,2,5
20,2,1,0
20,2,2,5
20,3,1,0
20,3,2,5
21,0,1,1
21,0,2,6
21,1,1,0
21,1,2,5
21,2,1,0
21,2,2,5
21,3,1,0
21,3,2,5
22,0,1,1
22,0,2,7
22,1,1,0
22,1,2,5
22,2,1,0
22,2,2,5
22,3,1,0
22,3,2,5
23,0,1,1
23,0,2,8
23,1,1,0
23,1,2,5
23,2,1,0
23,2,2,5
23,3,1,0
23,3,2,5
24,0,1,1
24,0,2,6
24,1,1,0
24,1,2,6
24,2,1,0
24,2,2,6
24,3,1,0
24,3,2,6
25,0,1,1
25,0,2,7
25,1,1,0
25,1,2,6
25,2,1,0
25,2,2,6
25,3,1,0
25,3,2,6
26,0,1,1
26,0,2,8
26,1,1,0
26,1,2,6
26,2,1,0
26,2,2,6
26,3,1,0
26,3,2,6
27,0,1,1
27,0,2,9
27,1,1,0
27,1,2,6
27,2,1,0
27,2,2,6
27,3,1,0
27,3,2,6
28,0,1,1
28,0,2,7
28,1,1,0
28,1,2,7
28,2,1,0
28,2,2,7
28,3,1,0
28,3,2,7
29,0,1,1
29,0,2,8
29,1,1,0
29,1,2,7
29,2,1,0
29,2,2,7
29,3,1,0
29,3,2,7
30,0,1,1
30,0,2,9
30,1,1,0
30,1,2,7
30,2,1,0
30,2,2,7
30,3,1,0
30,3,2,7
