tick,kind(1),kind(2)
0,240,0
1,240,81
2,240,162
3,240,243
4,240,324
5,240,405
6,240,486
7,240,567
8,240,648
9,240,729
10,240,810
11,240,891
12,240,972
13,240,1053
14,240,1134
15,240,1215
16,240,1296
17,240,1377
18,240,1458
19,240,1539
20,240,1620
21,240,1620
22,240,1620
23,240,1620
24,240,1620
25,240,1620
26,240,1620
27,240,1620
28,240,1620
29,240,1620
30,240,1620
31,240,1620
32,240,1620
33,240,1620
34,240,1620
35,240,1620
36,240,1620
37,240,1620
38,240,1620
39,240,1620
40,240,1620
41,240,1620
42,240,1620
43,240,1620
44,240,1620
45,240,1620
46,240,1620
47,240,1620
48,240,1620
49,240,1620
50,240,1620
51,240,1620
52,240,1620
53,240,1620
54,240,1620
55,240,1620
56,240,1620
57,240,1620
58,240,1620
59,240,1620
60,240,1620
61,240,1620
62,240,1620
63,240,1620
64,240,1620
65,240,1620
66,240,1620
67,240,1620
68,240,1620
69,240,1620
70,240,1620
71,240,1620
72,240,1620
73,240,1620
74,240,1620
75,240,1620
76,240,1620
77,240,1620
78,240,1620
79,240,1620
80,240,1620
81,240,1620
82,240,1620
83,240,1620
84,240,1620
85,240,1620
86,240,1620
87,240,1620
88,240,1620
89,240,1620
90,240,1620
91,240,1620
92,240,1620
93,240,1620
94,240,1620
95,240,1620
96,240,1620
97,240,1620
98,240,1620
99,240,1620
100,240,1620
101,240,1620
102,240,1620
103,240,1620
104,240,1620
105,240,1620
106,240,1620
107,240,1620
108,240,1620
109,240,1620
110,240,1620
111,240,1620
112,240,1620
113,240,1620
114,240,1620
115,240,1620
116,240,1620
117,240,1620
118,240,1620
119,240,1620
120,240,1620
