tick,place,base,rock,sediment,water,solidsurface,potential,localmatter,complete_signature
0,0,0,8,0,0,8,8,8,0,8,0,0,0,8,0,0,
0,1,0,8,0,0,8,8,8,0,8,0,0,0,8,0,0,
1,0,0,8,0,8,8,16,8,0,8,0,8,0,8,0,0,
1,1,0,8,0,0,8,8,8,0,8,0,8,0,8,0,0,
2,0,0,7,1,12,8,20,8,0,7,1,12,0,8,0,4,
2,1,0,8,0,4,8,12,8,0,7,1,12,0,8,0,4,
3,0,0,6,1,8,7,15,7,0,6,1,8,0,8,1,8,
3,1,0,8,1,8,9,17,9,0,6,1,8,0,8,1,8,
4,0,0,6,2,9,8,17,8,0,6,2,9,0,8,0,7,
4,1,0,8,0,7,8,15,8,0,6,2,9,0,8,0,7,
5,0,0,6,1,8,7,15,7,0,6,1,8,0,8,1,8,
5,1,0,8,1,8,9,17,9,0,6,1,8,0,8,1,8,
6,0,0,6,2,9,8,17,8,0,6,2,9,0,8,0,7,
6,1,0,8,0,7,8,15,8,0,6,2,9,0,8,0,7,
7,0,0,6,1,8,7,15,7,0,6,1,8,0,8,1,8,
7,1,0,8,1,8,9,17,9,0,6,1,8,0,8,1,8,
8,0,0,6,2,9,8,17,8,0,6,2,9,0,8,0,7,
8,1,0,8,0,7,8,15,8,0,6,2,9,0,8,0,7,
